12:08:05.890 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:08:39.351 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - testng
12:08:39.351 [ApplicationImpl pooled thread 68] INFO  com.browserstack.utils.Helpers - null
12:08:39.353 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:09:16.768 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - testng
12:09:16.768 [ApplicationImpl pooled thread 51] INFO  com.browserstack.utils.Helpers - null
12:09:16.770 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:09:34.558 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - testng
12:09:34.558 [ApplicationImpl pooled thread 51] INFO  com.browserstack.utils.Helpers - null
12:09:34.560 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:09:55.748 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - testng
12:09:55.748 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - null
12:09:55.750 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:10:03.364 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - testng
12:10:03.365 [ApplicationImpl pooled thread 68] INFO  com.browserstack.utils.Helpers - null
12:10:03.366 [ApplicationImpl pooled thread 68] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:10:18.132 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - testng
12:10:18.132 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - null
12:10:18.132 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:10:52.453 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - testng
12:10:52.454 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - null
12:10:52.455 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:12:22.084 [ApplicationImpl pooled thread 69] INFO  c.b.l.BrowserStackRunExtension - testng
12:12:22.084 [ApplicationImpl pooled thread 69] INFO  com.browserstack.utils.Helpers - null
12:12:22.085 [ApplicationImpl pooled thread 69] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:14:41.083 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - testng
12:14:41.083 [ApplicationImpl pooled thread 51] INFO  com.browserstack.utils.Helpers - null
12:14:41.084 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:16:29.699 [ApplicationImpl pooled thread 74] INFO  c.b.l.BrowserStackRunExtension - testng
12:16:29.699 [ApplicationImpl pooled thread 74] INFO  com.browserstack.utils.Helpers - null
12:16:29.700 [ApplicationImpl pooled thread 74] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:17:11.358 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - testng
12:17:11.358 [ApplicationImpl pooled thread 81] INFO  com.browserstack.utils.Helpers - null
12:17:11.359 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:17:56.596 [ApplicationImpl pooled thread 74] INFO  c.b.l.BrowserStackRunExtension - testng
12:17:56.596 [ApplicationImpl pooled thread 74] INFO  com.browserstack.utils.Helpers - null
12:17:56.597 [ApplicationImpl pooled thread 74] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:19:07.559 [ApplicationImpl pooled thread 78] INFO  c.b.l.BrowserStackRunExtension - testng
12:19:07.559 [ApplicationImpl pooled thread 78] INFO  com.browserstack.utils.Helpers - null
12:19:07.561 [ApplicationImpl pooled thread 78] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:19:26.135 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
12:19:26.136 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:19:26.137 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:20:47.459 [ApplicationImpl pooled thread 79] INFO  c.b.l.BrowserStackRunExtension - testng
12:20:47.459 [ApplicationImpl pooled thread 79] INFO  com.browserstack.utils.Helpers - null
12:20:47.460 [ApplicationImpl pooled thread 79] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:21:36.915 [ApplicationImpl pooled thread 74] INFO  c.b.l.BrowserStackRunExtension - testng
12:21:36.915 [ApplicationImpl pooled thread 74] INFO  com.browserstack.utils.Helpers - null
12:21:36.916 [ApplicationImpl pooled thread 74] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:21:51.190 [ApplicationImpl pooled thread 74] INFO  c.b.l.BrowserStackRunExtension - testng
12:21:51.190 [ApplicationImpl pooled thread 74] INFO  com.browserstack.utils.Helpers - null
12:21:51.191 [ApplicationImpl pooled thread 74] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:22:47.989 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - testng
12:22:47.991 [ApplicationImpl pooled thread 86] INFO  com.browserstack.utils.Helpers - null
12:22:47.992 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:25:29.178 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
12:25:29.178 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:25:29.180 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:26:34.236 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
12:26:34.236 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:26:34.238 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:27:51.716 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - testng
12:27:51.718 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
12:27:51.719 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:28:19.803 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
12:28:19.803 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:28:19.805 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:28:48.021 [ApplicationImpl pooled thread 91] INFO  c.b.l.BrowserStackRunExtension - testng
12:28:48.021 [ApplicationImpl pooled thread 91] INFO  com.browserstack.utils.Helpers - null
12:28:48.022 [ApplicationImpl pooled thread 91] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:31:57.484 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
12:31:57.484 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:31:57.485 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:35:15.790 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
12:35:15.791 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:35:15.793 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:36:15.461 [ApplicationImpl pooled thread 97] INFO  c.b.l.BrowserStackRunExtension - testng
12:36:15.461 [ApplicationImpl pooled thread 97] INFO  com.browserstack.utils.Helpers - null
12:36:15.462 [ApplicationImpl pooled thread 97] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:36:55.367 [ApplicationImpl pooled thread 96] INFO  c.b.l.BrowserStackRunExtension - testng
12:36:55.367 [ApplicationImpl pooled thread 96] INFO  com.browserstack.utils.Helpers - null
12:36:55.368 [ApplicationImpl pooled thread 96] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:37:16.883 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
12:37:16.884 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:37:16.886 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:37:25.953 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
12:37:25.953 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:37:25.955 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:38:03.731 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - testng
12:38:03.731 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
12:38:03.734 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:38:14.562 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - testng
12:38:14.562 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
12:38:14.564 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:38:24.449 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - testng
12:38:24.450 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
12:38:24.451 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:39:08.894 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - testng
12:39:08.894 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
12:39:08.895 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:39:37.306 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - testng
12:39:37.306 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
12:39:37.307 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:40:15.827 [ApplicationImpl pooled thread 94] INFO  c.b.l.BrowserStackRunExtension - testng
12:40:15.827 [ApplicationImpl pooled thread 94] INFO  com.browserstack.utils.Helpers - null
12:40:15.828 [ApplicationImpl pooled thread 94] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:41:04.902 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
12:41:04.902 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
12:41:04.904 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:41:27.492 [ApplicationImpl pooled thread 99] INFO  c.b.l.BrowserStackRunExtension - testng
12:41:27.492 [ApplicationImpl pooled thread 99] INFO  com.browserstack.utils.Helpers - null
12:41:27.494 [ApplicationImpl pooled thread 99] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:44:26.186 [ApplicationImpl pooled thread 101] INFO  c.b.l.BrowserStackRunExtension - testng
12:44:26.187 [ApplicationImpl pooled thread 101] INFO  com.browserstack.utils.Helpers - null
12:44:26.188 [ApplicationImpl pooled thread 101] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:44:51.765 [ApplicationImpl pooled thread 97] INFO  c.b.l.BrowserStackRunExtension - testng
12:44:51.765 [ApplicationImpl pooled thread 97] INFO  com.browserstack.utils.Helpers - null
12:44:51.768 [ApplicationImpl pooled thread 97] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:45:08.093 [ApplicationImpl pooled thread 97] INFO  c.b.l.BrowserStackRunExtension - testng
12:45:08.093 [ApplicationImpl pooled thread 97] INFO  com.browserstack.utils.Helpers - null
12:45:08.094 [ApplicationImpl pooled thread 97] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:48:25.488 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - testng
12:48:25.488 [ApplicationImpl pooled thread 102] INFO  com.browserstack.utils.Helpers - null
12:48:25.491 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:49:15.451 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - testng
